.;Archers;Barbarian;Giant;Goblin;Knight;Mini-Pekka
=$A$4;"=CONTAR.SI(B4:B20004;"""*Archer*");"=CONTAR.SI(B4:B20004;"""*Barbarian*");"=CONTAR.SI(B4:B20004;"""*Giant*");"=CONTAR.SI(B4:B20004;"""*Goblin*");"=CONTAR.SI(B4:B20004;"""*Knight*");"=CONTAR.SI(B4:B20004;"""*Mini-Pekka*")
=$C$4;"=CONTAR.SI(D4:D20004;"""*Archer*");"=CONTAR.SI(D4:D20004;"""*Barbarian*");"=CONTAR.SI(D4:D20004;"""*Giant*");"=CONTAR.SI(D4:D20004;"""*Goblin*");"=CONTAR.SI(D4:D20004;"""*Knight*");"=CONTAR.SI(D4:D20004;"""*Mini-Pekka*")
GNB;Archer_middle;DecisionTreeAI;Goblin;
GNB;Goblin_middle;DecisionTreeAI;Giant;
GNB;Mini-Pekka_down;DecisionTreeAI;Knight;
GNB;Knight_middle;DecisionTreeAI;Archer;
GNB;Archer_middle;DecisionTreeAI;Goblin;
GNB;Goblin_middle;DecisionTreeAI;Knight;
GNB;Mini-Pekka_middle;DecisionTreeAI;Archer;
GNB;Barbarian_middle;DecisionTreeAI;Goblin;
GNB;Knight_middle;DecisionTreeAI;Knight;
GNB;Knight_middle;DecisionTreeAI;Archer;
GNB;Knight_middle;DecisionTreeAI;Goblin;
GNB;Giant_middle;DecisionTreeAI;Barbarian;
GNB;Giant_middle;DecisionTreeAI;Knight;
GNB;Giant_middle;DecisionTreeAI;Goblin;
GNB;Knight_middle;DecisionTreeAI;Archer;
GNB;Archer_middle;DecisionTreeAI;Knight;
GNB;Giant_middle;DecisionTreeAI;Goblin;
GNB;Goblin_middle;DecisionTreeAI;Archer;
GNB;Mini-Pekka_middle;DecisionTreeAI;Knight;
GNB;Mini-Pekka_middle;DecisionTreeAI;Goblin;
GNB;Archer_middle;DecisionTreeAI;Archer;
GNB;Knight_middle;DecisionTreeAI;Knight;
GNB;Mini-Pekka_middle;DecisionTreeAI;Goblin;
GNB;Knight_middle;DecisionTreeAI;Archer;
GNB;Knight_middle;DecisionTreeAI;Knight;
GNB;Mini-Pekka_middle;DecisionTreeAI;Goblin;
GNB;Mini-Pekka_middle;DecisionTreeAI;Archer;
GNB;Knight_middle;DecisionTreeAI;Mini-Pekka;
GNB;Mini-Pekka_middle;DecisionTreeAI;Goblin;
GNB;Mini-Pekka_middle;DecisionTreeAI;Knight;
GNB;Barbarian_middle;DecisionTreeAI;Archer;
GNB;Mini-Pekka_middle;DecisionTreeAI;Goblin;
GNB;Archer_middle;DecisionTreeAI;Mini-Pekka;
GNB;Goblin_middle;DecisionTreeAI;Archer;
GNB;Knight_middle;DecisionTreeAI;Goblin;
GNB;Archer_middle;DecisionTreeAI;Mini-Pekka;
GNB;Archer_middle;DecisionTreeAI;Archer;
GNB;Knight_middle;DecisionTreeAI;Goblin;
GNB;Barbarian_middle;DecisionTreeAI;Mini-Pekka;
GNB;Giant_middle;DecisionTreeAI;Archer;
GNB;Mini-Pekka_middle;DecisionTreeAI;Goblin;
GNB;Knight_middle;DecisionTreeAI;Mini-Pekka;
GNB;Knight_middle;DecisionTreeAI;Knight;
GNB;Giant_middle;DecisionTreeAI;Archer;
GNB;Goblin_middle;DecisionTreeAI;Goblin;
GNB;Giant_middle;DecisionTreeAI;Mini-Pekka;
GNB;Giant_middle;DecisionTreeAI;Archer;
GNB;Giant_middle;DecisionTreeAI;Goblin;
GNB;Giant_middle;;
